property_id,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
321,House,Entire home/apt,6,1.5,3,4,Real Bed
322,House,Private room,2,2,1,1,Real Bed
323,Apartment,Entire home/apt,2,1,1,1,Futon
324,Apartment,Entire home/apt,4,1,1,1,Real Bed
325,House,Entire home/apt,5,2,3,3,Real Bed
326,House,Private room,2,1,1,1,Real Bed
327,Apartment,Private room,2,1,1,1,Futon
328,House,Entire home/apt,4,1,2,2,Real Bed
329,House,Private room,2,1,1,1,Real Bed
330,Apartment,Entire home/apt,2,1,1,1,Real Bed
331,Apartment,Entire home/apt,2,1,1,1,Real Bed
332,House,Entire home/apt,12,2,5,6,Real Bed
333,House,Shared room,1,1,1,1,Real Bed
334,House,Shared room,1,1,1,1,Real Bed
335,House,Shared room,1,1,1,1,Real Bed
336,House,Shared room,1,1,1,1,Real Bed
337,Apartment,Entire home/apt,4,1,2,2,Real Bed
338,Apartment,Entire home/apt,6,1,2,4,Real Bed
339,House,Entire home/apt,6,1,2,4,Real Bed
340,House,Shared room,1,1,1,1,Real Bed
341,House,Shared room,1,1,1,1,Real Bed
342,Apartment,Entire home/apt,2,1,1,1,Real Bed
343,House,Entire home/apt,4,1,1,2,Real Bed
344,House,Private room,2,1,1,1,Real Bed
345,House,Entire home/apt,7,3,4,5,Real Bed
346,House,Entire home/apt,2,1,0,1,Real Bed
347,House,Entire home/apt,6,1,2,3,Real Bed
348,Apartment,Entire home/apt,2,1,1,1,Real Bed
349,House,Private room,3,1,1,3,Real Bed
350,House,Entire home/apt,5,1,2,2,Real Bed
351,House,Shared room,1,1,1,1,Real Bed
352,House,Private room,2,2,1,2,Real Bed
353,House,Private room,2,1,1,1,Real Bed
354,House,Entire home/apt,5,1,2,3,Real Bed
355,House,Entire home/apt,3,1,0,1,Real Bed
356,House,Private room,2,1,1,1,Real Bed
357,House,Entire home/apt,8,3,4,5,Real Bed
358,House,Shared room,1,1,1,1,Real Bed
359,House,Entire home/apt,2,1,1,1,Real Bed
360,Apartment,Entire home/apt,4,1,1,2,Real Bed
361,Apartment,Entire home/apt,4,1,1,1,Real Bed
362,Apartment,Entire home/apt,4,1,2,2,Real Bed
363,Apartment,Private room,3,1,1,1,Airbed
364,House,Private room,2,1.5,1,1,Real Bed
365,House,Entire home/apt,6,1,2,4,Real Bed
366,House,Entire home/apt,4,1,1,2,Real Bed
367,Apartment,Entire home/apt,2,1,1,1,Real Bed
368,Apartment,Entire home/apt,4,1,1,2,Real Bed
369,House,Entire home/apt,7,1,3,4,Real Bed
370,House,Entire home/apt,4,1,1,2,Real Bed
371,House,Entire home/apt,5,1,1,2,Real Bed
372,Apartment,Entire home/apt,2,1,1,1,Real Bed
373,House,Shared room,1,1,1,1,Real Bed
374,House,Entire home/apt,4,1,2,2,Real Bed
375,Apartment,Entire home/apt,2,1,1,1,Real Bed
376,House,Entire home/apt,5,1,3,3,Real Bed
377,House,Entire home/apt,8,2,3,3,Real Bed
378,Apartment,Entire home/apt,2,1,1,1,Real Bed
379,House,Shared room,1,1,1,1,Real Bed
380,Apartment,Entire home/apt,2,1,0,1,Real Bed
381,House,Shared room,1,1,1,1,Real Bed
382,House,Private room,2,1.5,1,1,Pull-out Sofa
383,House,Entire home/apt,8,2,4,4,Real Bed
384,Apartment,Entire home/apt,2,1,1,1,Real Bed
385,House,Entire home/apt,4,1.5,3,2,Real Bed
386,House,Entire home/apt,6,2.5,2,3,Real Bed
387,House,Private room,1,1,1,1,Real Bed
388,Apartment,Entire home/apt,3,1,1,1,Real Bed
389,Apartment,Entire home/apt,4,1,2,3,Real Bed
390,House,Shared room,1,1,1,1,Real Bed
391,House,Entire home/apt,4,1,2,1,Real Bed
392,House,Entire home/apt,3,1,1,2,Real Bed
393,Apartment,Entire home/apt,2,1,1,1,Real Bed
394,House,Entire home/apt,8,3.5,3,3,Real Bed
395,Apartment,Entire home/apt,4,1,2,3,Real Bed
